"subj_idx","series","1_match_circular_NA","1_match_pentagon_NA","1_match_square_NA","1_match_triangle_NA","2_match_circular_NA","2_match_pentagon_NA","2_match_square_NA","2_match_triangle_NA","3_match_circular_NA","3_match_pentagon_NA","3_match_square_NA","3_match_triangle_NA","1_mismatch_circular_NA","1_mismatch_pentagon_NA","1_mismatch_square_NA","1_mismatch_triangle_NA","2_mismatch_circular_NA","2_mismatch_pentagon_NA","2_mismatch_square_NA","2_mismatch_triangle_NA","3_mismatch_circular_NA","3_mismatch_pentagon_NA","3_mismatch_square_NA","3_mismatch_triangle_NA","1_match_NA_friend","1_match_NA_mother","1_match_NA_self","1_match_NA_stranger","2_match_NA_friend","2_match_NA_mother","2_match_NA_self","2_match_NA_stranger","3_match_NA_friend","3_match_NA_mother","3_match_NA_self","3_match_NA_stranger","1_mismatch_NA_friend","1_mismatch_NA_mother","1_mismatch_NA_self","1_mismatch_NA_stranger","2_mismatch_NA_friend","2_mismatch_NA_mother","2_mismatch_NA_self","2_mismatch_NA_stranger","3_mismatch_NA_friend","3_mismatch_NA_mother","3_mismatch_NA_self","3_mismatch_NA_stranger"
"sv020017",0,533.69999995,596.25,563.35,574.05000005,557.4000001,577.64999995,564.6000001,595.0999999,557,563.94999995,592.3999999,599.5,566.3999999,639.7,556.3,531,551.10000005,583,586.29999995,596.70000005,606.04999995,584.9000001,652.5,581.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020017",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,688.6999998,660.9000001,717.85,677.0999999,612.95000005,568.65000005,608.5,617.3000002,614,589.14999995,643.65,747.2500001,702.1499999,665.15000005,730.20000005,645.3,653,597.1000001,697.6999998,656.75,643,617.5999999,647.5
"sv020018",0,631.11,706.92,620.0975,613.74,607.54,689.485,613.4225,653.1625,606.82,624.7825,611.345,581.6225,633.93,625.25,671.865,660.1,615.39,618.7425,672.385,648.165,618.7925,612.39,720.915,587.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020018",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728.7375,678.795,615.925,720.975,842.955,732.2625,808.98,837.9675,822.575,743.52,713.925,808.305,714.7275,671.535,702.045,743.955,754.975,843.695,795.075,804.745,825.85,758.0825,777.895,789.925
"sv020019",0,530,608,558,550,527.5,549,529.5,532.5,514.5,577,555.5,532.5,560,587,608,574,534,521,549,551.5,554,548,544,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020019",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703.5,676,635.5,665,631,641,598,603,622,642,602,623,724,632,684.5,703,646.5,610,617,640.5,641,656,617,647.5
"sv020020",0,648.92,732.59,672.385,646.5475,584.6475,686.13,623.81,597.075,632.73,702.6175,653.2675,634.93,698.565,746.325,703.525,683.905,660.2675,660.195,647.925,671.665,658.47,701.955,661.9425,670.2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020020",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647.765,708.76,621.97,648.145,660.865,636.525,591.18,672.94,634.875,609.945,609.535,635.9625,696.545,622.265,659.58,684.165,673.645,640.9425,660.875,673.69,652.8275,653.4675,647.0825,646.585
"sv020021",0,600.65,704.4,612.95,636.6,689.6,788.1,704.8,736.3,643.3,736.3,699.3,690.4,712.2,735.8,662.8,643.65,773.2,760.4,804.3,809.6,749.7,736.15,789.45,707.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020021",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750.3,677,656.3,752.6,744.8,684.9,668.3,855.25,785.9,637.9,691.7,783.8,742,720.2,709.95,812.35,805.45,747.1,802.6,926.75,839.9,720.75,699.05,903.35
"sv020022",0,632,707,598.5,635,600,681,608,608,629.5,749,688.5,658,685,748,715.5,702,708,738,748,724,737,820.5,843,779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020022",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,700,648,770,722,699,679,748.5,700.5,674.5,604,718,734,753,717,770.5,775,764,715,754,756.5,758,741.5,775
"sv020023",0,604,634.5,606,583.5,595,644,592,595,613.5,656.5,621,610,633.5,658,705,657,641.5,696,658,644,629.5,677,689,658.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,647,640,699,725,692,708,702,678,666,647,690.5,778,720,716,718,775.5,738,719,777,742,709.5,718,749.5
"sv020024",0,606.1475,714.4274999,587.5349999,604.9850001,615.34,683.0675,604.56999995,621.1624999,632.945,658.7649998,633.405,603.0349999,654.4649999,707.9999999,715.71,682.7100001,648.9400001,649.37750005,691.0799998,688.5375,625.09,698.6749999,694.19499995,661.7149999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020024",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.2999999,641.8700002,627.5450001,731.0250001,649.07499995,617.0374999,581.95,657.16249995,705.9150001,616.18,593.9099998,690.1025,766.48,662.49,739.64249995,763.1300001,726.61,655.9,732.7350001,714.6900001,748.3899998,689.3399998,741.255,696.9849999
