"subj_idx","series","misNum","shapeNameEn","characterNameEn","CorrectingRT","Dprime"
"sv020007",1,3,NA,"stranger",28.1117708458333,3.84511188260996
"sv020008",0,1,"circular",NA,78.7392287234043,3.76849852782363
"sv020008",0,1,"pentagon",NA,13.4166666666667,2.50154211045425
"sv020008",0,1,"square",NA,18.0785904255318,3.11465852322288
"sv020008",0,1,"triangle",NA,40.35625,4.34782546995881
"sv020008",0,2,"circular",NA,157.4,4.34782546995881
"sv020008",0,2,"pentagon",NA,-12.7604166666666,3.19813789727629
"sv020008",0,2,"square",NA,49.25,3.84511188260996
"sv020008",0,2,"triangle",NA,131.029166666667,4.62198267651484
"sv020008",0,3,"circular",NA,54.0250000000001,3.76849852782363
"sv020008",0,3,"pentagon",NA,-12.3791666666667,2.1623916954177
"sv020008",0,3,"square",NA,1.69791666666674,2.88201377649825
"sv020008",0,3,"triangle",NA,47.44375,4.07366826340278
"sv020008",1,1,NA,"friend",55.3625000000001,2.8490519332013
"sv020008",1,1,NA,"mother",7.16666666666663,3.26578494047479
"sv020008",1,1,NA,"self",55.1291666666667,4.04265573437966
"sv020008",1,1,NA,"stranger",54.5875,2.27014068611951
"sv020008",1,2,NA,"friend",21.8625,2.14530812008197
"sv020008",1,2,NA,"mother",20.2208333333333,3.29499569276449
"sv020008",1,2,NA,"self",81.3874999999999,4.34782546995881
"sv020008",1,2,NA,"stranger",0.0770833333333485,2.4085109414391
"sv020008",1,3,NA,"friend",2.50625000000002,2.10894490354011
"sv020008",1,3,NA,"mother",32.3541666666666,3.41982825880203
"sv020008",1,3,NA,"self",68.53125,4.04265573437967
"sv020008",1,3,NA,"stranger",12.9375,3.36546379002747
"sv020009",0,1,"circular",NA,67.2833333333333,4.34782546995881
"sv020009",0,1,"pentagon",NA,47.8258333333333,2.91711467145318
"sv020009",0,1,"square",NA,27.715,3.84511188260996
"sv020009",0,1,"triangle",NA,41.7455208333333,4.07366826340278
"sv020009",0,2,"circular",NA,109.5428125,3.57095467605393
"sv020009",0,2,"pentagon",NA,45.0339583333333,3.57095467605393
"sv020009",0,2,"square",NA,126.900729166667,3.57095467605393
"sv020009",0,2,"triangle",NA,97.3739583333333,4.07366826340278
"sv020009",0,3,"circular",NA,70.9470833333332,4.34782546995881
