"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","mean_rt","med_rt","acc"
"sv020006",0,"mismatch",3,"circular","square",NA,673.242666666667,660.74,0.933333333333333
"sv020006",0,"mismatch",3,"circular","triangle",NA,646.774,589.36,1
"sv020006",0,"mismatch",3,"pentagon","circular",NA,644.656875,638.45,1
"sv020006",0,"mismatch",3,"pentagon","square",NA,684.4946875,684.66,1
"sv020006",0,"mismatch",3,"pentagon","triangle",NA,643.164,639.205,0.933333333333333
"sv020006",0,"mismatch",3,"square","circular",NA,645.368,587.7,1
"sv020006",0,"mismatch",3,"square","pentagon",NA,704.2928125,684.81,1
"sv020006",0,"mismatch",3,"square","triangle",NA,654.196153846154,622.31,1
"sv020006",0,"mismatch",3,"triangle","circular",NA,652.176875,599.7825,1
"sv020006",0,"mismatch",3,"triangle","pentagon",NA,645.842857142857,580.19,1
"sv020006",0,"mismatch",3,"triangle","square",NA,619.785625,612.405,0.9375
"sv020006",1,"match",1,"circular",NA,"stranger",796.030217391304,787.655,0.978260869565217
"sv020006",1,"match",1,"pentagon",NA,"friend",829.807765957447,820.395,0.957446808510638
"sv020006",1,"match",1,"square",NA,"mother",718.805638297872,686.02,1
"sv020006",1,"match",1,"triangle",NA,"self",687.643085106383,670.96,0.957446808510638
"sv020006",1,"match",2,"circular",NA,"stranger",725.139456521739,703.995,0.978260869565217
"sv020006",1,"match",2,"pentagon",NA,"friend",770.245108695652,729.615,0.978260869565217
"sv020006",1,"match",2,"square",NA,"mother",691.166145833333,668.03,0.979166666666667
"sv020006",1,"match",2,"triangle",NA,"self",684.597,647.095,0.955555555555556
"sv020006",1,"match",3,"circular",NA,"stranger",706.708139534884,707.385,1
"sv020006",1,"match",3,"pentagon",NA,"friend",720.272765957447,713.44,0.936170212765957
"sv020006",1,"match",3,"square",NA,"mother",709.897934782609,688.55,1
"sv020006",1,"match",3,"triangle",NA,"self",680.096458333333,665.3025,0.979166666666667
"sv020006",1,"mismatch",1,"circular",NA,"self",744.669479166667,721.4,1
"sv020006",1,"mismatch",1,"pentagon",NA,"stranger",922.795652173913,872.6425,0.978260869565217
"sv020006",1,"mismatch",1,"square",NA,"friend",831.409431818182,785.505,0.977272727272727
"sv020006",1,"mismatch",1,"triangle",NA,"mother",766.794255319149,738.68,1
"sv020006",1,"mismatch",2,"circular",NA,"mother",707.66,669.99,1
"sv020006",1,"mismatch",2,"circular",NA,"self",730.707608695652,731.125,1
"sv020006",1,"mismatch",2,"pentagon",NA,"self",792.705,740.07,1
"sv020006",1,"mismatch",2,"pentagon",NA,"stranger",782.855,769.185,0.954545454545455
"sv020006",1,"mismatch",2,"square",NA,"friend",792.268333333333,805.1675,1
"sv020006",1,"mismatch",2,"square",NA,"stranger",717.249772727273,709.8225,1
"sv020006",1,"mismatch",2,"triangle",NA,"friend",740.717045454545,712.56,1
"sv020006",1,"mismatch",2,"triangle",NA,"mother",699.176190476191,676.565,0.952380952380952
"sv020006",1,"mismatch",3,"circular",NA,"friend",758.2,744.675,1
"sv020006",1,"mismatch",3,"circular",NA,"mother",665.164642857143,655.215,1
"sv020006",1,"mismatch",3,"circular",NA,"self",759.813214285714,777.235,1
"sv020006",1,"mismatch",3,"pentagon",NA,"mother",788.324,811.51,0.866666666666667
"sv020006",1,"mismatch",3,"pentagon",NA,"self",774.343,775.78,1
"sv020006",1,"mismatch",3,"pentagon",NA,"stranger",762.042142857143,740.49,0.928571428571429
"sv020006",1,"mismatch",3,"square",NA,"friend",776.995666666667,775.925,1
"sv020006",1,"mismatch",3,"square",NA,"self",719.561666666667,728.87,0.933333333333333
"sv020006",1,"mismatch",3,"square",NA,"stranger",689.0675,675.39,1
"sv020006",1,"mismatch",3,"triangle",NA,"friend",714.215,694.925,1
"sv020006",1,"mismatch",3,"triangle",NA,"mother",693.028666666667,679.65,1
"sv020006",1,"mismatch",3,"triangle",NA,"stranger",776.84,749.365,1
"sv020007",0,"match",1,"circular","circular",NA,568.747826113044,566.0575,0.978260869565217
"sv020007",0,"match",1,"pentagon","pentagon",NA,591.673695632609,584.46500005,0.956521739130435
"sv020007",0,"match",1,"square","square",NA,582.334687554167,567.085,1
"sv020007",0,"match",1,"triangle","triangle",NA,598.632978723404,585.405,0.957446808510638
"sv020007",0,"match",2,"circular","circular",NA,580.272395860417,577.1025,0.9375
"sv020007",0,"match",2,"pentagon","pentagon",NA,627.907500008696,637.85249995,0.891304347826087
"sv020007",0,"match",2,"square","square",NA,584.013854172917,581.50500035,1
"sv020007",0,"match",2,"triangle","triangle",NA,598.708229185417,590.59499995,0.916666666666667
"sv020007",0,"match",3,"circular","circular",NA,600.153229175,582.04249965,0.979166666666667
"sv020007",0,"match",3,"pentagon","pentagon",NA,617.264270829167,608.62000005,0.854166666666667
"sv020007",0,"match",3,"square","square",NA,601.887291666667,593.72999985,1
"sv020007",0,"match",3,"triangle","triangle",NA,624.799687558333,610.08250035,0.916666666666667
"sv020007",0,"mismatch",1,"circular","triangle",NA,597.08656251875,594.3875001,0.958333333333333
"sv020007",0,"mismatch",1,"pentagon","circular",NA,589.819148985106,584.7200002,1
"sv020007",0,"mismatch",1,"square","pentagon",NA,601.374893595745,600.7300001,1
"sv020007",0,"mismatch",1,"triangle","square",NA,604.59574463617,576.99,0.978723404255319
"sv020007",0,"mismatch",2,"circular","square",NA,595.255833266667,573.79249995,0.958333333333333
"sv020007",0,"mismatch",2,"circular","triangle",NA,619.442500016667,609.0650002,0.958333333333333
"sv020007",0,"mismatch",2,"pentagon","circular",NA,586.4566667,582.26499985,1
"sv020007",0,"mismatch",2,"pentagon","triangle",NA,618.873636404545,593.02500005,1
"sv020007",0,"mismatch",2,"square","circular",NA,599.094375020833,600.8774999,0.958333333333333
"sv020007",0,"mismatch",2,"square","pentagon",NA,591.7612500125,585.895,0.916666666666667
"sv020007",0,"mismatch",2,"triangle","pentagon",NA,586.423750016667,572.9050001,1
"sv020007",0,"mismatch",2,"triangle","square",NA,603.880208291667,598.72999975,0.958333333333333
"sv020007",0,"mismatch",3,"circular","pentagon",NA,653.9237501,632.305,1
"sv020007",0,"mismatch",3,"circular","square",NA,623.5012500875,600.2,1
"sv020007",0,"mismatch",3,"circular","triangle",NA,591.1828125,570.3399999,1
"sv020007",0,"mismatch",3,"pentagon","circular",NA,583.09843743125,575.87750025,1
"sv020007",0,"mismatch",3,"pentagon","square",NA,679.38781253125,694.87749995,0.9375
"sv020007",0,"mismatch",3,"pentagon","triangle",NA,624.053333313333,600.41,1
"sv020007",0,"mismatch",3,"square","circular",NA,604.406666593333,583.1550001,1
"sv020007",0,"mismatch",3,"square","pentagon",NA,591.422333273333,573.3500002,1
"sv020007",0,"mismatch",3,"square","triangle",NA,631.88124998125,606.2874999,0.9375
"sv020007",0,"mismatch",3,"triangle","circular",NA,598.211249975,578.65000005,1
"sv020007",0,"mismatch",3,"triangle","pentagon",NA,651.5334375125,630.32749995,0.9375
"sv020007",0,"mismatch",3,"triangle","square",NA,600.68531250625,599.5275001,0.9375
"sv020007",1,"match",1,"circular",NA,"stranger",641.278723434043,645.6350004,0.872340425531915
"sv020007",1,"match",1,"pentagon",NA,"friend",658.560681825,654.54749995,0.909090909090909
"sv020007",1,"match",1,"square",NA,"mother",655.464090888636,659.08999975,0.840909090909091
"sv020007",1,"match",1,"triangle",NA,"self",613.947234057447,590.45,0.978723404255319
"sv020007",1,"match",2,"circular",NA,"stranger",641.189021754348,635.30750015,0.91304347826087
