"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","rt","acc","med_rt"
"sv020006",1,"mismatch",2,"circular",NA,"self",756.521666666667,1,743.155
"sv020006",1,"mismatch",2,"pentagon",NA,"self",810.881666666667,1,740.095
"sv020006",1,"mismatch",2,"pentagon",NA,"stranger",833.554166666667,0.958333333333333,778.6825
"sv020006",1,"mismatch",2,"square",NA,"friend",792.268333333333,1,805.1675
"sv020006",1,"mismatch",2,"square",NA,"stranger",792.505,0.958333333333333,714.81
"sv020006",1,"mismatch",2,"triangle",NA,"friend",795.846875,0.958333333333333,720.405
"sv020006",1,"mismatch",2,"triangle",NA,"mother",771.351458333333,0.958333333333333,691.49
"sv020006",1,"mismatch",3,"circular",NA,"friend",758.2,1,744.675
"sv020006",1,"mismatch",3,"circular",NA,"mother",748.8934375,1,656.2875
"sv020006",1,"mismatch",3,"circular",NA,"self",806.565,1,791.255
"sv020006",1,"mismatch",3,"pentagon",NA,"mother",827.855625,0.875,816.18
"sv020006",1,"mismatch",3,"pentagon",NA,"self",807.37375,1,776.8675
"sv020006",1,"mismatch",3,"pentagon",NA,"stranger",849.3596875,0.9375,775.9125
"sv020006",1,"mismatch",3,"square",NA,"friend",814.5603125,1,783.8475
"sv020006",1,"mismatch",3,"square",NA,"self",747.8740625,0.9375,748.085
"sv020006",1,"mismatch",3,"square",NA,"stranger",689.0675,1,675.39
"sv020006",1,"mismatch",3,"triangle",NA,"friend",763.6075,1,698.935
"sv020006",1,"mismatch",3,"triangle",NA,"mother",715.805,1,680.975
"sv020006",1,"mismatch",3,"triangle",NA,"stranger",800.81375,1,752.03
"sv020007",0,"match",1,"circular","circular",NA,568.747826113044,0.9375,566.0575
"sv020007",0,"match",1,"pentagon","pentagon",NA,600.571595725532,0.9375,585.2350001
"sv020007",0,"match",1,"square","square",NA,582.334687554167,1,567.085
"sv020007",0,"match",1,"triangle","triangle",NA,598.632978723404,0.9375,585.405
"sv020007",0,"match",2,"circular","circular",NA,580.272395860417,0.9375,577.1025
"sv020007",0,"match",2,"pentagon","pentagon",NA,633.475425538298,0.875,637.8649999
"sv020007",0,"match",2,"square","square",NA,584.013854172917,1,581.50500035
"sv020007",0,"match",2,"triangle","triangle",NA,598.708229185417,0.916666666666667,590.59499995
"sv020007",0,"match",3,"circular","circular",NA,600.153229175,0.979166666666667,582.04249965
"sv020007",0,"match",3,"pentagon","pentagon",NA,617.264270829167,0.854166666666667,608.62000005
"sv020007",0,"match",3,"square","square",NA,601.887291666667,1,593.72999985
"sv020007",0,"match",3,"triangle","triangle",NA,624.799687558333,0.916666666666667,610.08250035
"sv020007",0,"mismatch",1,"circular","triangle",NA,597.08656251875,0.958333333333333,594.3875001
"sv020007",0,"mismatch",1,"pentagon","circular",NA,618.47145838125,1,584.7875001
"sv020007",0,"mismatch",1,"square","pentagon",NA,601.374893595745,0.979166666666667,600.7300001
"sv020007",0,"mismatch",1,"triangle","square",NA,611.626354114583,0.958333333333333,577.61499985
"sv020007",0,"mismatch",2,"circular","square",NA,595.255833266667,0.958333333333333,573.79249995
"sv020007",0,"mismatch",2,"circular","triangle",NA,619.442500016667,0.958333333333333,609.0650002
"sv020007",0,"mismatch",2,"pentagon","circular",NA,586.4566667,1,582.26499985
"sv020007",0,"mismatch",2,"pentagon","triangle",NA,683.206041704167,0.958333333333333,603.1825
"sv020007",0,"mismatch",2,"square","circular",NA,599.094375020833,0.958333333333333,600.8774999
"sv020007",0,"mismatch",2,"square","pentagon",NA,591.7612500125,0.916666666666667,585.895
"sv020007",0,"mismatch",2,"triangle","pentagon",NA,586.423750016667,1,572.9050001
"sv020007",0,"mismatch",2,"triangle","square",NA,603.880208291667,0.958333333333333,598.72999975
"sv020007",0,"mismatch",3,"circular","pentagon",NA,653.9237501,1,632.305
"sv020007",0,"mismatch",3,"circular","square",NA,623.5012500875,1,600.2
"sv020007",0,"mismatch",3,"circular","triangle",NA,591.1828125,1,570.3399999
"sv020007",0,"mismatch",3,"pentagon","circular",NA,583.09843743125,1,575.87750025
"sv020007",0,"mismatch",3,"pentagon","square",NA,679.38781253125,0.9375,694.87749995
"sv020007",0,"mismatch",3,"pentagon","triangle",NA,647.70437498125,1,600.81250015
"sv020007",0,"mismatch",3,"square","circular",NA,631.03218743125,1,587.09500005
"sv020007",0,"mismatch",3,"square","pentagon",NA,611.49249995625,1,575.24250005
"sv020007",0,"mismatch",3,"square","triangle",NA,631.88124998125,0.9375,606.2874999
"sv020007",0,"mismatch",3,"triangle","circular",NA,598.211249975,1,578.65000005
"sv020007",0,"mismatch",3,"triangle","pentagon",NA,651.5334375125,0.9375,630.32749995
"sv020007",0,"mismatch",3,"triangle","square",NA,600.68531250625,0.9375,599.5275001
"sv020007",1,"match",1,"circular",NA,"stranger",648.501041695833,0.875,648.2250001
"sv020007",1,"match",1,"pentagon",NA,"friend",693.58906250625,0.895833333333333,667.58000035
"sv020007",1,"match",1,"square",NA,"mother",683.04604165,0.833333333333333,666.6025
"sv020007",1,"match",1,"triangle",NA,"self",621.029479177083,0.979166666666667,591.7099998
"sv020007",1,"match",2,"circular",NA,"stranger",653.671145845833,0.916666666666667,639.3225
"sv020007",1,"match",2,"pentagon",NA,"friend",683.842021317021,0.9375,632.2500003
"sv020007",1,"match",2,"square",NA,"mother",648.479479154167,0.9375,630.08999985
"sv020007",1,"match",2,"triangle",NA,"self",633.9140624875,1,600.33999985
"sv020007",1,"match",3,"circular",NA,"stranger",675.77197918125,0.9375,643.55499995
"sv020007",1,"match",3,"pentagon",NA,"friend",704.2273958125,0.916666666666667,678.59250005
"sv020007",1,"match",3,"square",NA,"mother",691.79208331875,0.979166666666667,653.30000015
"sv020007",1,"match",3,"triangle",NA,"self",658.96822915,0.958333333333333,617.5849999
"sv020007",1,"mismatch",1,"circular",NA,"self",663.814062514583,0.979166666666667,615.9949999
"sv020007",1,"mismatch",1,"pentagon",NA,"stranger",756.749791633333,0.854166666666667,728.19499995
"sv020007",1,"mismatch",1,"square",NA,"friend",741.607812541667,0.895833333333333,722.9800001
"sv020007",1,"mismatch",1,"triangle",NA,"mother",656.356666652083,0.979166666666667,636.47
"sv020007",1,"mismatch",2,"circular",NA,"mother",602.559583304167,1,588.69999995
"sv020007",1,"mismatch",2,"circular",NA,"self",606.156458279167,1,587.0099999
"sv020007",1,"mismatch",2,"pentagon",NA,"self",713.407708425,1,676.3825
"sv020007",1,"mismatch",2,"pentagon",NA,"stranger",663.994166683333,1,645.96999995
